video_title,author,comment_text
I bought the CHEAPEST Tech in India!,@officialblimp,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=642"">10:42</a> <b>the Bluetooth device is ready to pair</b> energy"
I bought the CHEAPEST Tech in India!,@officialblimp,love how he got surrounded by fans 😂
I bought the CHEAPEST Tech in India!,@pollyg562,very award watching the masage
I bought the CHEAPEST Tech in India!,@mukulrana5189,Me
I bought the CHEAPEST Tech in India!,@AryaD.,The roti was a NIGHTMARE 😢😢
I bought the CHEAPEST Tech in India!,@twinquefrancis,Hi beta
I bought the CHEAPEST Tech in India!,@lolliroo,The man that’s massaging Arun : what’s with my him? Are these his last days on earth or something?
I bought the CHEAPEST Tech in India!,@Edits_hy13,Who here is from pakistan
I bought the CHEAPEST Tech in India!,@Duck_Tales-FOR-YOU.,"&quot;the perfect backpack doesn&#39;t exis-&quot;<a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><br>love the humour<a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a>"
I bought the CHEAPEST Tech in India!,@alphatunes.,Come to srilankan 😪🗿
I bought the CHEAPEST Tech in India!,@sezaku85,you know they are all made in China 😂
I bought the CHEAPEST Tech in India!,@ExplorativeEye,"This comment is invisible to everyone except those with great taste. If you can see it, congrats on being awesome!"
I bought the CHEAPEST Tech in India!,@djsroni,"nike is made by AIR 😂 <a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=526"">8:46</a><br><br><a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=1229"">20:29</a>  Jugar!"
I bought the CHEAPEST Tech in India!,@ryanschubert5480,"him singing happy birthday into a bluetooth mic with a speaker, while getting a massage is peak youtube content."
I bought the CHEAPEST Tech in India!,@devanshdas3217,@mrwhosetheboss you were at nehru place 😮
I bought the CHEAPEST Tech in India!,@user-zm4qu8jn9j,brother come to nepal
I bought the CHEAPEST Tech in India!,@VecheslavNovikov,"Removing voice from songs is probably just a bandstop filter, not AI. I had a failing headphone jack on an old CD player that did that somehow, had to wiggle it for the lyrics to come through while the rest of the music was coming through fine."
I bought the CHEAPEST Tech in India!,@iGreenOwl,Hi !!!! :DDDDDDDDDDDD😊
I bought the CHEAPEST Tech in India!,@electroctgon7008,"I got 2nd degrees all over my back today because someone spilled a kettle full of scorching hot water on me, I came home from the hospital an hour ago in excrutiating pain but your entertaining video made me forget about the pain for 37 minutes and 48 seconds, Thank you! :)"
I bought the CHEAPEST Tech in India!,@AadityaRaj-828,The fact that guruji is wearing a royal Oak is just insane🤯
I bought the CHEAPEST Tech in India!,@MDASIFZF,This all came from china.made in china
I bought the CHEAPEST Tech in India!,@anujrao1,"Most of these are designed and made in China , aren&#39;t they ?"
I bought the CHEAPEST Tech in India!,@freak4780,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=440"">7:20</a> that map was controversial man u could get into trouble, i am shocked no one noticed it"
I bought the CHEAPEST Tech in India!,@bhg--aman3528,India&#39;s map was wrong at 7.23 <br>Please replace it with real map
I bought the CHEAPEST Tech in India!,@lilburgundy5373,Nah those shoes are not it 😅
I bought the CHEAPEST Tech in India!,@Rehankhanv5,Now people will not choos to go china
I bought the CHEAPEST Tech in India!,@mehradfathi-kp6qh,ایران بیاد چی میگه
I bought the CHEAPEST Tech in India!,@NamanSingh-sq4km,Imagine you earn like dollars and pay like rupees
I bought the CHEAPEST Tech in India!,@D3V4NS11,save coal resources
I bought the CHEAPEST Tech in India!,@D3V4NS11,samsungs
I bought the CHEAPEST Tech in India!,@D3V4NS11,automatic cleaning machines
I bought the CHEAPEST Tech in India!,@D3V4NS11,copy japan
I bought the CHEAPEST Tech in India!,@D3V4NS11,1d= 100r
I bought the CHEAPEST Tech in India!,@D3V4NS11,more cheap tecs
I bought the CHEAPEST Tech in India!,@simlalanicole,that BlinkIt app is sooo awesome!!!!!
I bought the CHEAPEST Tech in India!,@rapidfirenightride7925,Chinese tech 😂
I bought the CHEAPEST Tech in India!,@Hashimfaisal1234,Can you check out pakistan plz
I bought the CHEAPEST Tech in India!,@deepaktomke4332,We don&#39;t use m34 😂
I bought the CHEAPEST Tech in India!,@amitsprojects6877,Me
I bought the CHEAPEST Tech in India!,@artist2725,Me too bro
I bought the CHEAPEST Tech in India!,@teukunasruli,MELEDAK 🎉
I bought the CHEAPEST Tech in India!,@Kurg3rB1ng132,"He said happy birthday isn’t copyrighted, when it actually is"
I bought the CHEAPEST Tech in India!,@UnidentifiedGecko,I love how you’re both just trashing the fakes in front of the seller and he doesn’t even know
I bought the CHEAPEST Tech in India!,@sreyasms8117,Kerala 🇮🇳
I bought the CHEAPEST Tech in India!,@IbrahimYounes,"Give you an idea of how much over priced the top notch products are, meaning if we pay little more for those cheap products, we might get something really close to the real deal."
I bought the CHEAPEST Tech in India!,@arc.alyzex,"Sir please add the removed or erased parts of Jammu Kashmir in the map you&#39;ve shown @<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=440"">7:20</a> in the video. Please do it so as not to hurt the feelings of indians"
